Datetime,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
7/12/2016,129,60,87,10,0.9,37,191
7/13/2016,150,58,87,10,1,50,214
7/14/2016,88,53,64,9,1.2,70,49
7/15/2016,129,54,72,10,1,49,191
7/16/2016,92,65,93,9,1,36,150
7/17/2016,102,76,77,9,0.9,28,162
7/18/2016,81,31,50,8,0.6,21,137
7/19/2016,100,31,54,9,0.6,23,159
7/20/2016,140,39,70,11,0.7,25,203
7/21/2016,161,43,69,14,0.8,33,226
7/22/2016,169,47,77,14,0.8,35,234
7/23/2016,137,44,77,13,0.8,29,200
7/24/2016,117,40,64,11,0.7,21,178
7/25/2016,91,23,42,10,0.6,17,149
7/26/2016,168,37,63,12,0.7,25,233
7/27/2016,128,47,80,12,0.9,39,190
7/28/2016,136,66,99,12,1,52,199
7/29/2016,156,71,93,11,0.9,34,221
7/30/2016,70,35,45,8,0.6,14,124
7/31/2016,38,14,28,9,0.4,11,75
8/1/2016,32,14,29,10,0.5,13,64
8/2/2016,57,16,36,10,0.6,18,108
8/3/2016,50,18,37,9,0.7,40,58
8/4/2016,62,26,39,13,0.7,49,99
8/5/2016,41,20,32,9,0.6,24,81
8/6/2016,39,16,28,10,0.6,18,78
8/7/2016,42,9,22,9,0.5,14,83
8/8/2016,33,9,20,10,0.5,18,65
8/9/2016,26,10,25,9,0.5,17,51
8/10/2016,31,10,23,8,0.5,16,61
8/11/2016,30,15,27,10,0.5,16,59
8/12/2016,27,13,25,9,0.6,15,54
8/13/2016,35,16,30,9,0.6,14,70
8/14/2016,65,22,36,10,0.7,16,117
8/15/2016,55,14,29,9,0.7,15,105
8/16/2016,48,18,31,12,0.7,19,96
8/17/2016,44,18,33,11,0.7,20,87
8/18/2016,52,17,36,11,0.7,17,102
8/19/2016,80,20,38,10,0.7,24,135
8/20/2016,96,29,48,11,0.7,28,155
8/21/2016,44,25,37,11,0.7,19,87
8/22/2016,70,22,35,11,0.7,19,124
8/23/2016,84,20,34,11,0.7,20,140
8/24/2016,86,18,35,11,0.7,23,143
8/25/2016,67,24,39,12,0.7,24,120
8/26/2016,57,18,36,10,0.7,16,108
8/27/2016,60,17,43,13,0.7,25,111
8/28/2016,105,22,54,16,0.8,24,165
8/29/2016,90,23,48,14,0.8,32,148
8/30/2016,94,30,64,19,0.9,45,152
8/31/2016,135,38,76,17,0.9,49,198
9/1/2016,140,63,95,16,1,37,204
9/2/2016,163,68,97,16,1.1,42,228
9/3/2016,113,66,82,14,0.9,33,174
9/4/2016,65,32,42,11,0.7,18,117
9/5/2016,67,28,42,13,0.8,28,120
9/6/2016,64,40,63,16,0.8,51,111
9/7/2016,63,35,42,10,0.8,50,98
9/8/2016,116,69,77,14,1,63,177
9/9/2016,116,66,64,13,1,51,177
9/10/2016,80,48,57,12,0.8,31,135
9/11/2016,65,47,57,11,0.8,44,106
9/12/2016,74,35,46,11,0.7,32,128
9/13/2016,74,30,37,11,0.7,29,128
9/14/2016,49,17,25,10,0.7,39,90
9/15/2016,33,7,10,10,0.6,21,66
9/16/2016,23,8,16,10,0.6,18,40
9/17/2016,38,13,23,11,0.6,20,75
9/18/2016,53,31,55,12,0.7,18,98
9/19/2016,47,16,40,12,0.7,20,94
9/20/2016,49,17,41,12,0.6,29,98
9/21/2016,48,15,29,12,0.6,38,94
9/22/2016,52,16,28,13,0.6,39,102
9/23/2016,60,27,37,14,0.6,48,100
9/24/2016,87,32,44,12,0.6,32,144
9/25/2016,85,34,46,11,0.6,33,142
9/26/2016,41,26,38,11,0.6,30,82
9/27/2016,32,18,32,12,0.5,23,36
9/28/2016,37,13,24,10,0.5,20,74
9/29/2016,38,12,23,9,0.6,25,76
9/30/2016,75,37,50,10,0.9,60,58
10/1/2016,70,51,76,13,1,43,94
10/2/2016,45,22,32,13,0.6,23,90
10/3/2016,47,26,27,11,0.9,28,93
10/4/2016,39,17,31,10,0.6,24,77
10/5/2016,51,35,51,12,0.7,27,89
10/6/2016,72,24,44,10,0.6,20,126
10/7/2016,58,24,49,11,0.7,46,82
10/8/2016,55,16,33,11,0.5,21,105
10/9/2016,43,10,37,11,0.4,19,85
10/10/2016,48,10,32,11,0.4,24,96
10/11/2016,53,12,29,12,0.5,29,103
10/12/2016,70,29,50,14,0.6,28,123
10/13/2016,46,20,42,12,0.5,35,92
10/14/2016,50,26,46,13,0.6,40,92
10/15/2016,45,16,41,13,0.5,36,88
10/16/2016,68,45,63,17,0.9,54,99
10/17/2016,48,33,37,17,0.7,32,94
10/18/2016,55,18,31,12,0.6,33,105
10/19/2016,54,28,53,13,0.7,43,87
10/20/2016,53,23,31,12,0.6,42,73
10/21/2016,38,8,12,10,0.5,25,75
10/22/2016,29,5,9,9,0.5,21,57
10/23/2016,48,20,38,10,0.6,21,95
10/24/2016,47,20,38,12,0.6,37,92
10/25/2016,62,33,48,15,1,49,42
10/26/2016,70,24,21,11,0.9,56,78
10/27/2016,54,15,23,10,0.6,43,80
10/28/2016,47,23,30,11,0.7,37,65
10/29/2016,37,15,37,10,0.5,24,69
10/30/2016,39,13,38,10,0.5,30,78
10/31/2016,49,16,31,11,0.6,39,65
11/1/2016,42,14,28,10,0.4,23,84
11/2/2016,78,28,53,13,0.6,62,83
11/3/2016,104,63,96,19,1.1,87,96
11/4/2016,101,67,87,16,0.9,81,132
11/5/2016,101,70,95,16,0.9,82,126
11/6/2016,89,64,68,17,0.9,71,94
11/7/2016,65,35,41,14,0.6,52,71
11/8/2016,41,15,30,10,0.6,22,81
11/9/2016,37,14,32,10,0.5,27,73
11/10/2016,75,35,54,15,0.8,60,47
11/11/2016,83,49,82,19,0.9,66,68
11/12/2016,69,36,71,14,0.7,55,100
11/13/2016,85,52,68,12,0.9,68,32
11/14/2016,113,85,102,19,1.2,70,79
11/15/2016,60,43,69,14,0.8,33,90
11/16/2016,69,14,37,13,0.6,55,67
11/17/2016,73,17,23,12,0.6,58,49
11/18/2016,88,65,85,14,1,65,89
11/19/2016,144,110,130,23,1.7,96,21
11/20/2016,58,41,32,12,1,34,64
11/21/2016,68,29,45,13,0.9,54,50
11/22/2016,38,9,16,10,0.6,23,75
11/23/2016,47,18,21,12,0.6,37,53
11/24/2016,67,48,53,20,1,52,58
11/25/2016,82,42,53,17,0.8,65,37
11/26/2016,73,32,33,14,1.1,58,42
11/27/2016,128,97,126,40,1.6,80,64
11/28/2016,80,59,108,22,1,59,81
11/29/2016,83,20,44,14,0.7,66,51
11/30/2016,104,50,83,18,1,87,26
12/1/2016,128,97,131,27,1.3,69,93
12/2/2016,73,27,48,14,0.8,58,79
12/3/2016,75,24,44,14,0.7,60,85
12/4/2016,106,79,119,23,1.3,92,62
12/5/2016,159,121,159,25,1.5,94,72
12/6/2016,64,35,62,16,0.8,51,66
12/7/2016,128,97,129,26,1.3,99,56
12/8/2016,169,128,156,24,1.4,115,120
12/9/2016,115,87,96,22,1.1,67,95
12/10/2016,45,16,30,14,0.6,36,70
12/11/2016,44,14,30,14,0.6,35,71
12/12/2016,87,30,58,15,1,69,39
12/13/2016,64,33,52,13,0.8,51,60
12/14/2016,38,19,38,13,0.5,28,65
12/15/2016,84,62,79,27,1.1,59,62
12/16/2016,185,139,150,38,1.7,88,75
12/17/2016,142,108,136,23,1.3,81,80
12/18/2016,101,41,83,16,1.3,81,55
12/19/2016,107,62,93,21,1.4,94,30
12/20/2016,69,42,46,14,0.8,55,71
12/21/2016,70,31,37,13,0.9,56,36
12/22/2016,118,89,113,16,1.5,57,57
12/23/2016,175,132,126,26,1.8,63,62
12/24/2016,52,22,30,14,0.7,41,62
12/25/2016,65,17,23,13,0.7,52,51
12/26/2016,69,17,20,11,1,55,54
12/27/2016,42,28,42,13,0.8,30,66
12/28/2016,65,35,50,17,0.9,52,43
12/29/2016,84,62,79,19,1,49,74
12/30/2016,97,50,69,17,1,77,42
12/31/2016,104,45,66,22,1.2,88,32
1/1/2017,82,34,48,19,1,65,66
1/2/2017,92,68,75,22,1.2,65,48
1/3/2017,127,96,95,18,1.2,74,73
1/4/2017,90,52,56,21,1,72,73
1/5/2017,55,26,24,13,0.9,44,85
1/6/2017,63,21,27,13,0.7,52,54
1/7/2017,58,16,15,13,0.9,48,68
1/8/2017,104,77,73,16,1.8,54,12
1/9/2017,85,64,70,22,1.3,44,71
1/10/2017,107,80,82,19,1.3,54,77
1/11/2017,50,30,40,15,0.8,41,77
1/12/2017,92,56,62,17,1.1,74,38
1/13/2017,130,99,111,31,1.4,69,65
1/14/2017,38,22,33,15,0.7,30,77
1/15/2017,34,12,24,13,0.6,27,69
1/16/2017,51,17,27,14,0.7,42,71
1/17/2017,91,40,52,18,0.9,72,50
1/18/2017,66,35,40,16,0.8,52,66
1/19/2017,103,79,89,21,1.1,63,71
1/20/2017,93,67,98,19,1,33,79
1/21/2017,70,36,46,16,0.9,58,76
1/22/2017,65,44,65,21,1,52,72
1/23/2017,43,22,36,17,0.8,35,86
1/24/2017,51,29,40,18,0.8,41,95
1/25/2017,73,55,61,18,0.9,42,103
1/26/2017,72,53,52,17,0.9,46,115
1/27/2017,64,42,75,13,0.8,29,82
1/28/2017,61,27,72,12,0.6,25,106
1/29/2017,80,57,63,14,1.1,32,93
1/30/2017,42,22,39,10,0.6,13,82
1/31/2017,41,11,19,9,0.5,16,83
2/1/2017,45,31,37,12,0.7,20,90
2/2/2017,43,21,30,11,0.6,23,86
2/3/2017,55,16,24,12,0.7,45,52
2/4/2017,78,55,52,12,1.2,64,19
2/5/2017,148,116,115,14,1.5,57,58
2/6/2017,91,66,65,12,0.9,31,97
2/7/2017,45,13,25,10,0.5,27,90
2/8/2017,38,15,17,9,0.6,28,77
2/9/2017,96,72,72,17,1.1,35,91
2/10/2017,57,40,59,20,0.9,42,88
2/11/2017,70,43,60,21,1,59,88
2/12/2017,98,63,67,20,1.2,79,101
2/13/2017,90,59,57,17,0.9,74,112
2/14/2017,102,68,65,20,1.1,86,131
2/15/2017,90,66,60,18,0.8,55,145
2/16/2017,72,39,50,13,0.8,59,90
2/17/2017,70,50,72,14,0.8,46,75
2/18/2017,50,15,36,13,0.5,41,73
2/19/2017,65,37,65,13,0.7,37,119
2/20/2017,66,42,80,11,0.7,32,85
2/21/2017,46,21,46,9,0.6,25,89
2/22/2017,70,55,58,9,1,45,68
2/23/2017,104,76,73,14,1,37,94
2/24/2017,60,43,50,14,0.8,45,108
2/25/2017,106,81,79,18,1.1,75,121
2/26/2017,154,120,108,19,1.1,82,141
2/27/2017,76,44,41,14,0.8,61,113
2/28/2017,65,40,45,13,0.7,52,116
3/1/2017,73,52,85,15,0.8,58,99
3/2/2017,62,45,61,14,0.8,45,94
3/3/2017,68,49,66,16,0.8,53,122
3/4/2017,98,58,79,18,0.9,80,125
3/5/2017,102,66,66,14,0.9,83,52
3/6/2017,50,27,42,9,0.6,30,101
3/7/2017,65,36,60,12,0.7,51,111
3/8/2017,65,43,66,14,0.8,53,104
3/9/2017,102,78,93,19,1,82,120
3/10/2017,86,63,74,16,0.8,61,99
3/11/2017,90,53,60,13,0.7,43,148
3/12/2017,52,26,26,8,0.7,40,103
3/13/2017,54,27,39,8,0.7,28,105
3/14/2017,55,27,46,10,0.7,34,107
3/15/2017,68,30,46,14,0.7,54,115
3/16/2017,51,25,38,11,0.6,41,96
3/17/2017,65,34,41,11,0.6,51,107
3/18/2017,51,30,37,11,0.6,41,101
3/19/2017,57,38,40,11,0.7,46,103
3/20/2017,72,41,32,8,0.9,57,97
3/21/2017,86,63,71,12,0.8,37,140
3/22/2017,47,17,26,9,0.6,38,90
3/23/2017,48,20,28,8,0.6,40,91
3/24/2017,57,39,48,10,0.7,47,107
3/25/2017,102,78,90,15,1.1,64,98
3/26/2017,102,76,114,18,1,68,119
3/27/2017,87,65,90,20,1,64,127
3/28/2017,77,37,78,13,0.7,44,133
3/29/2017,80,59,79,11,0.9,46,112
3/30/2017,57,41,43,8,0.7,40,99
3/31/2017,63,36,45,9,0.7,32,116
4/1/2017,98,66,88,17,1,79,136
4/2/2017,109,83,91,17,1,61,141
4/3/2017,103,64,71,13,0.8,42,164
4/4/2017,93,47,58,10,0.7,27,152
4/5/2017,77,41,66,11,0.9,64,95
4/6/2017,95,68,68,13,1,75,57
4/7/2017,80,41,37,8,0.9,64,50
4/8/2017,73,60,57,10,0.8,58,96
4/9/2017,64,31,37,8,0.7,32,117
4/10/2017,53,25,29,7,0.7,43,81
4/11/2017,75,57,63,9,1.1,61,101
4/12/2017,77,44,92,11,0.9,64,109
4/13/2017,75,20,73,10,0.6,53,131
4/14/2017,111,31,70,13,0.8,50,173
4/15/2017,123,43,80,15,0.9,58,186
4/16/2017,81,46,62,11,0.9,65,71
4/17/2017,90,53,68,12,1.1,57,148
4/18/2017,87,43,123,16,0.9,54,145
4/19/2017,85,36,108,12,0.8,41,142
4/20/2017,85,49,77,10,0.9,38,142
4/21/2017,70,51,76,16,1,47,111
4/22/2017,86,32,60,10,0.7,29,144
4/23/2017,110,37,75,10,0.7,33,172
4/24/2017,121,41,85,11,0.7,36,184
4/25/2017,74,39,63,10,0.7,43,129
4/26/2017,68,23,33,7,0.6,25,122
4/27/2017,75,25,48,12,0.7,50,131
4/28/2017,120,47,78,17,0.8,70,182
4/29/2017,125,56,89,19,0.9,62,188
4/30/2017,139,41,76,16,0.7,42,203
5/1/2017,75,28,51,11,0.6,33,130
5/2/2017,52,16,26,7,0.5,22,103
5/3/2017,53,16,32,8,0.5,22,104
5/4/2017,42,26,33,7,0.7,34,84
5/5/2017,66,48,53,8,0.9,47,61
5/6/2017,129,0,0,10,0.7,44,115
5/7/2017,148,0,0,10,0.6,42,155
5/8/2017,71,28,92,8,0.5,32,98
5/9/2017,67,48,64,9,0.9,49,121
5/10/2017,144,59,94,15,1,67,209
5/11/2017,161,48,86,14,0.9,55,226
5/12/2017,69,32,38,8,0.8,48,123
5/13/2017,121,49,63,12,0.9,54,184
5/14/2017,105,55,72,13,0.8,41,166
5/15/2017,64,21,58,12,0.6,36,117
5/16/2017,61,15,39,13,0.5,42,114
5/17/2017,78,20,50,10,0.6,37,134
5/18/2017,97,22,49,10,0.6,29,157
5/19/2017,100,27,49,10,0.7,22,160
5/20/2017,72,22,42,9,0.6,19,127
5/21/2017,68,17,36,8,0.6,18,122
5/22/2017,55,14,34,8,0.6,17,107
5/23/2017,45,24,32,8,0.7,35,57
5/24/2017,52,16,22,8,0.7,23,103
5/25/2017,94,38,59,16,0.9,60,153
5/26/2017,83,40,56,12,0.6,43,140
5/27/2017,113,25,56,15,0.5,42,175
5/28/2017,133,29,61,15,0.6,37,197
5/29/2017,92,19,39,11,0.5,23,151
5/30/2017,96,26,46,12,0.5,22,156
5/31/2017,120,52,80,14,0.8,50,182
