"","Datetime","AQI","PM2.5","PM10","SO2","CO","NO2","O3_8h","kmean"
"168",2016-03-16,67,42,67,14,0.6,53,97,4
"169",2016-03-17,68,36,45,12,0.6,54,74,4
"170",2016-03-18,118,89,116,23,1.2,87,52,3
"171",2016-03-19,67,31,39,12,0.6,53,65,2
"172",2016-03-20,69,50,78,17,0.6,53,115,4
"173",2016-03-21,72,52,68,15,0.6,41,116,4
"174",2016-03-22,58,36,51,15,0.5,46,96,2
"175",2016-03-23,66,30,57,14,0.4,29,119,2
"176",2016-03-24,55,20,53,12,0.4,20,106,2
"177",2016-03-25,72,30,61,18,0.5,34,126,2
"178",2016-03-26,78,53,82,19,0.6,62,129,4
"179",2016-03-27,134,102,130,25,0.9,61,118,3
"180",2016-03-28,117,88,117,26,0.8,69,161,3
"181",2016-03-29,95,66,107,22,0.8,76,137,4
"182",2016-03-30,98,72,109,23,0.8,78,109,3
"183",2016-03-31,87,48,77,12,0.7,69,98,4
"184",2016-04-01,113,85,102,13,0.8,55,152,1
"185",2016-04-02,74,54,59,12,0.6,46,114,4
"186",2016-04-03,73,53,65,11,0.8,50,93,4
"187",2016-04-04,53,21,47,14,0.5,37,103,2
"188",2016-04-05,60,24,49,16,0.5,48,82,2
"189",2016-04-06,68,33,42,11,0.7,54,74,4
"190",2016-04-07,89,60,93,15,1.1,71,44,4
"191",2016-04-08,79,40,43,13,0.6,63,89,4
"192",2016-04-09,74,44,68,14,0.6,59,116,4
"193",2016-04-10,93,69,98,17,0.7,61,83,4
"194",2016-04-11,59,38,58,14,0.6,47,104,4
"195",2016-04-12,68,49,84,11,0.7,51,90,4
"196",2016-04-13,117,88,102,16,1,69,139,3
"197",2016-04-14,159,121,146,14,0.9,60,161,3
"198",2016-04-15,97,72,112,15,0.6,49,130,4
"199",2016-04-16,57,29,47,12,0.6,36,108,2
"200",2016-04-17,72,52,78,18,0.8,36,125,4
"201",2016-04-18,81,27,52,13,0.4,40,137,2
"202",2016-04-19,80,25,50,12,0.4,31,135,2
"203",2016-04-20,59,24,43,11,0.6,40,110,2
"204",2016-04-21,117,63,114,15,1,64,178,1
"205",2016-04-22,156,99,124,20,1.1,61,221,3
"206",2016-04-23,105,36,42,10,0.6,24,165,1
"207",2016-04-24,85,50,100,12,0.7,41,141,1
"208",2016-04-25,69,38,88,11,0.6,51,99,4
"209",2016-04-26,59,35,62,11,0.6,47,91,4
"210",2016-04-27,80,59,101,13,0.8,45,105,4
"211",2016-04-28,120,91,126,22,1.2,50,172,3
"212",2016-04-29,150,115,144,27,1.3,78,208,3
"213",2016-04-30,146,74,91,18,0.7,43,210,1
"214",2016-05-01,112,47,70,13,0.7,31,173,1
"215",2016-05-02,65,38,52,11,0.7,36,118,2
"216",2016-05-03,89,33,93,13,0.6,38,146,1
"217",2016-05-04,125,48,111,17,0.7,60,187,1
"218",2016-05-05,63,39,70,10,0.7,48,115,4
"219",2016-05-06,115,74,100,15,0.9,38,176,1
"220",2016-05-07,143,61,235,10,0.5,32,130,1
"221",2016-05-08,62,26,73,11,0.5,30,106,2
"222",2016-05-09,65,46,62,10,0.6,52,90,4
"223",2016-05-10,59,29,51,11,0.6,47,94,2
"224",2016-05-11,163,89,110,20,1,58,228,1
"225",2016-05-12,133,58,82,15,0.7,34,196,1
"226",2016-05-13,90,67,85,10,0.8,33,148,1
"227",2016-05-14,63,35,48,8,0.5,24,115,2
"228",2016-05-15,51,32,51,10,0.9,34,83,2
"229",2016-05-16,96,43,62,16,0.8,42,155,1
"230",2016-05-17,95,30,51,13,0.5,45,153,1
"231",2016-05-18,121,43,71,14,0.5,33,183,1
"232",2016-05-19,110,49,65,16,0.6,25,170,1
"233",2016-05-20,65,24,42,10,0.5,24,118,2
"234",2016-05-21,53,16,23,7,0.6,32,103,2
"235",2016-05-22,77,56,76,9,0.8,39,99,4
"236",2016-05-23,114,86,108,14,0.9,59,153,1
"237",2016-05-24,122,92,102,18,1,50,145,3
"238",2016-05-25,121,79,82,11,0.9,31,183,1
"239",2016-05-26,133,101,121,11,1.2,65,118,3
"240",2016-05-27,53,32,28,9,0.7,42,85,2
"241",2016-05-28,68,30,32,9,0.8,54,88,4
"242",2016-05-29,79,48,69,10,1.3,63,42,4
"243",2016-05-30,78,57,71,10,0.7,42,130,4
"244",2016-05-31,90,67,89,12,0.8,41,145,1
"245",2016-06-01,78,24,48,9,0.6,27,133,2
"246",2016-06-02,69,37,46,10,0.5,29,122,2
"247",2016-06-03,67,19,28,8,0.5,28,120,2
"248",2016-06-04,65,40,55,10,0.8,32,118,2
"249",2016-06-05,65,29,32,10,0.6,27,117,2
"250",2016-06-06,64,37,50,9,0.5,25,116,2
"251",2016-06-07,58,41,54,9,0.6,32,98,2
"252",2016-06-08,50,35,50,9,0.6,37,77,2
"253",2016-06-09,46,29,38,9,0.5,29,91,2
"254",2016-06-10,54,32,46,8,0.5,20,104,2
"255",2016-06-11,73,53,78,11,0.7,37,117,4
"256",2016-06-12,49,21,18,9,0.5,34,97,2
"257",2016-06-13,69,31,44,12,0.6,35,122,2
"258",2016-06-14,131,40,58,12,0.6,31,194,1
"259",2016-06-15,117,67,92,13,0.9,44,178,1
"260",2016-06-16,139,106,126,14,1.2,59,115,3
"261",2016-06-17,128,63,69,12,0.8,35,190,1
"262",2016-06-18,95,29,44,12,0.7,30,153,1
"263",2016-06-19,71,27,46,13,0.7,34,125,2
"264",2016-06-20,43,17,26,9,0.6,34,48,2
